"","Anexo","cod_orgao","nom_orgao","mes","ano","pg_mes","lim_sq_sd","pg_sd","cred_sd","a_liq_sd","liq_a_pg_sd","nome_orgao","lim_pag"
"1","Anexo II","20000","PRESIDENCIA DA REPUBLICA",2,"2019",41455.82238,75231.99492,69927.31491,441515.0945,328494.4477,62064.29551,"Presidência da República",57918
"2","Anexo II","20000","PRESIDENCIA DA REPUBLICA",3,"2019",80028.61069,26163.96748,149955.9256,435839.00303,291320.57308,21840.2788,"Presidência da República",86878
"3","Anexo II","20000","PRESIDENCIA DA REPUBLICA",4,"2019",31639.10452,45714.05662,181595.03012,220850.15395,330661.78652,50152.05685,"Presidência da República",135143
"4","Anexo II","20000","PRESIDENCIA DA REPUBLICA",5,"2019",65738.157,53707.55432,247333.18712,120128.67201,349213.82378,23069.178,"Presidência da República",183408
"5","Anexo II","20000","PRESIDENCIA DA REPUBLICA",6,"2019",31632.70227,23532.08993,278965.88939,105112.9391,325626.10792,31419.89289,"Presidência da República",231674
"6","Anexo II","20000","PRESIDENCIA DA REPUBLICA",7,"2019",65790.52082,30799.80131,344756.41021,69668.69813,313796.41754,29774.91354,"Presidência da República",279939
"7","Anexo II","20000","PRESIDENCIA DA REPUBLICA",8,"2019",54190.68154,15138.59381,398947.09175,60425.19399,288012.75122,17307.74675,"Presidência da República",328204
"8","Anexo II","20000","PRESIDENCIA DA REPUBLICA",9,"2019",29065.87668,21064.77439,428012.96843,81283.14144,288553.32783,26304.24408,"Presidência da República",376470
"9","Anexo II","20000","PRESIDENCIA DA REPUBLICA",10,"2019",51735.30773,14484.19773,479748.27616,41011.55821,300262.45032,12484.15593,"Presidência da República",424735
"10","Anexo II","20000","PRESIDENCIA DA REPUBLICA",11,"2019",30374.6776799999,33672.95898,510122.95384,38971.1568,265815.11859,30214.23547,"Presidência da República",473001
"11","Anexo II","20000","PRESIDENCIA DA REPUBLICA",12,"2019",80948.2939800001,52105.63373,591071.24782,23595.98427,39718.01632,11438.39431,"Presidência da República",521266
"12","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",2,"2019",75220.04821,93425.0252,135871.03144,2036575.5108,2127990.75697,240317.14208,"Ministério da Agricultura, Pecuária e Abastecimento",234643
"13","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",3,"2019",85462.8086,129120.47411,221333.84004,1999340.33056,2095952.48887,226535.5356,"Ministério da Agricultura, Pecuária e Abastecimento",351965
"14","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",4,"2019",109746.34073,174743.65716,331080.18077,1336521.79534,2028695.62849,211205.37268,"Ministério da Agricultura, Pecuária e Abastecimento",547500
"15","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",5,"2019",97045.95824,182724.04083,428126.13901,923306.04622,2091614.89429,267158.81071,"Ministério da Agricultura, Pecuária e Abastecimento",743036
"16","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",6,"2019",131799.71193,172005.03713,559925.85094,764607.115,2008455.86385,365810.94677,"Ministério da Agricultura, Pecuária e Abastecimento",938572
"17","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",7,"2019",223225.87406,113481.21057,783151.725,548648.44254,1929541.38545,324713.53633,"Ministério da Agricultura, Pecuária e Abastecimento",1134108
"18","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",8,"2019",179891.70187,54469.46491,963043.42687,431771.419431385,1837901.59493,275560.49408,"Ministério da Agricultura, Pecuária e Abastecimento",1329644
"19","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",9,"2019",93576.27129,66096.05813,1056619.69816,394401.745331644,1711191.54158,273714.119,"Ministério da Agricultura, Pecuária e Abastecimento",1525180
"20","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",10,"2019",91939.80988,73812.45083,1148559.50804,435755.022820041,1621258.52067,325562.32676,"Ministério da Agricultura, Pecuária e Abastecimento",1720716
"21","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",11,"2019",214952.31933,260968.8337,1363511.82737,1083960.67380224,1410372.71262,289354.38392,"Ministério da Agricultura, Pecuária e Abastecimento",1916252
"22","Anexo II","22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",12,"2019",692738.9294,363067.10496,2056250.75677,111645.775080307,511940.59905,398443.37897,"Ministério da Agricultura, Pecuária e Abastecimento",2111788
"23","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",2,"2019",152599.530644648,205287.04556,293252.788372385,2857980.86035,678366.99849696,358150.634249195,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",355333
